text,intent
"where to put salary",HELP_ADD_INCOME
"analysiss of gaming pc",COMPLEX_ADVICE
"offline mode?",INTERNET_REQ
"si it worth roi latest",COMPLEX_ADVICE
"who is this for?",TARGET_AUDIENCE
"prediction for Sing a song",COMPLEX_ADVICE
"talk to beruang",NAV_CHATBOT
"prediction for budget 2025 at my age",COMPLEX_ADVICE
"stpid",COMPLAINT
"Tell m a story",COMPLEX_ADVICE
"link bank?",BANK_LINKING
"epf  account",DEF_KWSP
"current interest rate",COMPLEX_ADVICE
"i guess buy house",COMPLEX_ADVICE
"who is this for?",TARGET_AUDIENCE
"is it wrth installment with small capital",COMPLEX_ADVICE
"report bug",CONTACT_SUPPORT
"remove expense",HELP_DELETE_TRANSACTION
"is it a good idea to salary right now",COMPLEX_ADVICE
"is it worth trading",COMPLEX_ADVICE
"ocr",HELP_RECEIPT_SCAN
"What do you know about me?",COMPLEX_ADVICE
"why that name?",WHY_BERUANG
"nothing",COMPLEX_ADVICE
"how to pa debt fast",DEF_DEBT_SNOWBALL
"bank integration",BANK_LINKING
"help mes ave",ADVICE_MOTIVATION
"what is the OPR rate",COMPLEX_ADVICE
"what is the unemployment rate",COMPLEX_ADVICE
"can i connct bank?",BANK_LINKING
"tell me a joke",JOKE
"contact support",CONTACT_SUPPORT
"remove  expense",HELP_DELETE_TRANSACTION
"nothing",COMPLEX_ADVICE
"what kind of bot are you?",WHO_ARE_YOU
"build unmber",APP_VERSION
"main screen",NAV_HOME
"ehllo",GREETING
"nthing",COMPLEX_ADVICE
"edit transaction",HELP_EDIT_TRANSACTION
"function of pp",APP_PURPOSE
"magic of compounding",DEF_COMPOUND_INTEREST
"fyp dteails",DEVELOPER_INFO
"student budget tips",ADVICE_STUDENT_TIPS
"back to  dashboard",NAV_HOME
"how do i unemployment rate rate",COMPLEX_ADVICE
"is it a bear?",WHY_BERUANG
"add transaction",HELP_ADD_TRANSACTION
"Tell me a story",COMPLEX_ADVICE
"who is this for?",TARGET_AUDIENCE
"how do i promotio for the future",COMPLEX_ADVICE
"prediction for startup fast",COMPLEX_ADVICE
"scholarship 6 months",HELP_INCOME_ALLOCATION
"bank integration",BANK_LINKING
"what is teh best way to invest",COMPLEX_ADVICE
"take money uot",HELP_WITHDRAW_SAVINGS
"later",BYE
"what is alloction?",HELP_INCOME_ALLOCATION
"depositm oney",HELP_ADD_INCOME
"age rgoup",TARGET_AUDIENCE
"link bank?",BANK_LINKING
"define inflation",DEF_INFLATION
"exit",BYE
"pros and cons of OPR rate",COMPLEX_ADVICE
"not ehlpful",COMPLAINT
"th savings",DEF_TABUNG_HAJI
"What si 2+2?",COMPLEX_ADVICE
"show expensses",NAV_EXPENSES
"how much emergency fund?",DEF_EMERGENCY_FUND
"age  group",TARGET_AUDIENCE
"why beruang?",WHY_BERUANG
"university",DEVELOPER_INFO
"trewq",GARBAGE
"campus saviing",ADVICE_STUDENT_TIPS
"tell me the tax rate",COMPLEX_ADVICE
"how to pay debt fast",DEF_DEBT_SNOWBALL
"not sure Iam bored",COMPLEX_ADVICE
"what kind of bot are you?",WHO_ARE_YOU
"clear all",HELP_RESET_DATA
"give me a tip",ADVICE_GENERAL_TIP
"talk tto beruang",NAV_CHATBOT
"Is it for students?",TARGET_AUDIENCE
"can i connect bank?",BANK_LINKING
"guide me on GDP for studetns",COMPLEX_ADVICE
"employees providennt fund",DEF_KWSP
"is it worth inflation rate",COMPLEX_ADVICE
"nothing",COMPLEX_ADVICE
"ad income",HELP_ADD_INCOME
"student budge ttips",ADVICE_STUDENT_TIPS
"is this for me?",TARGET_AUDIENCE
"i guess unempolyment rate fast",COMPLEX_ADVICE
"do you tihnk mortgage",COMPLEX_ADVICE
"savngs definition",DEF_SAVINGS_DEF
"help me with economc growth",COMPLEX_ADVICE
