description,category,subcategory
beg tangan coach  midvalley,wants,Shopping
买新衣服 (new clothes),wants,Shopping
tengok wayang yesterday,wants,Entertainment
steam games  online,wants,Entertainment
சினிமா (cinema)  online,wants,Entertainment
spotify subscription rm50,wants,Entertainment
sabun basuh baju,needs,Others
打油 (dǎ yóu),needs,Transportation
shopping mall dpeosit,wants,Shopping
tnb bill payment,needs,Financial Services
servis aircond,needs,Others
home decor for mom,wants,Others
இணையம் (internet),needs,Telecommunication
买奶茶 (boba) jb,wants,Food & Beverage
pump petrol rm100,needs,Transportation
pay digi bill  pavilion,needs,Telecommunication
data reload for mom,needs,Telecommunication
பிரியாணி (briyani special),wants,Food & Beverage
bubbe tea craving,wants,Food & Beverage
beli lauk,needs,Food & Beverage
doctor visit,needs,Others
beli sabun basuh,needs,Others
pay insurance  online yesterday,needs,Financial Services
tambah nilai tng,needs,Transportation
充值 (top up) kl,needs,Telecommunication
nambang bas,needs,Transportation
tiket sunway agoon rm50,wants,Entertainment
maka shellout shah alam,wants,Food & Beverage
bayar duit kereta,needs,Financial Services
makan angin,wants,Others
பள்ளி கட்டணம் (school fee),needs,Others
hotel mahal rm50,wants,Others
hotel mahal shah alam deposit,wants,Others
chicken rice for lunch  bangsar today,needs,Food & Beverage
மரத்துவர் (doctor),needs,Others
servis aircond cheras now,needs,Others
korean bbq,wants,Food & Beverage
鸡饭 (jīfàn),needs,Food & Beverage
சினிமா (cinema),wants,Entertainment
tambah nilai tng  online,needs,Transportation
吃火锅 (hotpot),wants,Food & Beverage
beli lauk  pavilion,needs,Food & Beverage
pekena nasi kadaq,wants,Food & Beverage
tengok wayang,wants,Entertainment
sushi king,wants,Food & Beverage
reload prepaid for famil,needs,Telecommunication
唱K (karaoke),wants,Entertainment
nangga wayng kl,wants,Entertainment
give parent money,needs,Financial Services
yuran tadika rm100,needs,Others
sayur manis,needs,Food & Beverage
பள்ளி கட்டணம் (school fee) rm10,needs,Others
starbucks coffee jb rm50,wants,Food & Beverage
唱K (karaoke)  at mall,wants,Entertainment
去旅行 (travel),wants,Others
milk powder baby,needs,Food & Beverage
beli midin,needs,Food & Beverage
pergi bercuti langkawi  midvalley,wants,Others
买米 (mǎi mǐ)  bangsar,needs,Food & Beverage
buy medicin damansara,needs,Others
இணையம் (internet) cash,needs,Telecommunication
ubat klinik,needs,Others
gi pusing pusing,wants,Others
காய்கறி (kaaigari),needs,Food & Beverage
esttle ptptn,needs,Financial Services
மின்சாரம் (electric bil),needs,Financial Services
topup hotlink cheras,needs,Telecommunication
insurans nyawa,needs,Financial Services
去旅行 (travel kl,wants,Others
tnb bill payment,needs,Financial Services
karaoke night deposit,wants,Entertainment
langgan netflix,wants,Entertainment
打油 (dǎ yóu),needs,Transportation
topup umobile cheras lagi,needs,Telecommunication
去云顶 (genting) redit,wants,Entertainment
住酒店 (hotel),wants,Others
住酒店 (hotel),wants,Others
买手机 (buy phone rm50,wants,Shopping
movie tickets penang lagi,wants,Entertainment
home wifi bill  online,needs,Telecommunication
sushi king,wants,Food & Beverage
nasi lemak biasa,needs,Food & Beverage
买新衣服 (new clothes) penang,wants,Shopping
tuka tayar kereta,needs,Transportation
topup pubg,wants,Entertainment
bayar bil celcom  at mall,needs,Telecommunication
klinik panel klang rm100,needs,Others
beli beras 10kg yesterday,needs,Food & Beverage
pay insurance,needs,Financial Services
holiday bali for family,wants,Others
cukai pendapatan lhdn,needs,Financial Services
tiket konsetr jb,wants,Entertainment
car detailing for family,wants,Others
bil unifi rumah,needs,Telecommunication
reload prepaid,needs,Telecommunication
杂饭 (záfàn),needs,Food & Beverage
买米 (mǎi mǐ) rm100,needs,Food & Beverage
milk powder baby penang,needs,Food & Beverage
买新衣服 (new clothes),wants,Shopping
hiasan rumah,wants,Others
看电影 (movie) cheras yesterday,wants,Entertainment
bil air syabas urgent,needs,Financial Services
netflix bill,wants,Entertainment
shopee 11.11  bangsar,wants,Shopping
minyak muto damansar baru,needs,Transportation
சினிமா (cinema)  kedai runci,wants,Entertainment
电话费 (diànhu fèi) deposit,needs,Telecommunication
kredit telefon  kedai runcit,needs,Telecommunication
beli ayam seekor,needs,Food & Beverage
tambah nilai tng,needs,Transportation
handbag luxury kl deposit,wants,Shopping
ubat klinik,needs,Others
brad and eggs,needs,Food & Beverage
parking ticekt,needs,Transportation
hotel booking penang,wants,Others
去云顶 (genting) kl,wants,Entertainment
bil elektrik tnb rm10,needs,Financial Services
tnb bill payment  at mall now,needs,Financial Services
toup pubg,wants,Entertainment
diapers and milk,needs,Others
topup umobile,needs,Telecommunication
ubat klinik rm10,needs,Others
shopping sakan,wants,Shopping
iphone 15 pro yesterday,wants,Shopping
durian musang king kl rm50,wants,Food & Beverage
pekena nasi kandaq,wants,Food & Beverage
mcdonads set,wants,Food & Beverage
